ProvisionalIdentityKey,CanonicalMatchKey,LookupMatchKey,DisplayWord,ThirdPartyTargetSense,SourceMatchKeys,SourceOccurrenceCount,LearnerAdmitted,KloseCandidateClass,KloseCandidateCount,KloseCandidateNoteIDs,KloseCandidateSenses,PremergeStatus,MergeAuthorized
candidate:northeast,northeast,northeast,northeast,东北；东北方向,northeast,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:northwest,northwest,northwest,northwest,西北；西北方向,northwest,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:nose,nose,nose,nose,鼻子,nose,23,yes,exact-single,1,KV000013,鼻子,pending-sense-confirmation,no
candidate:not,not,not,not,不；没有（否定词）,not,14,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:note,note,note,note,笔记；便条,note,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:note pad,note pad,note pad,note pad,记事本,note pad,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:notebook,notebook,notebook,notebook,笔记本,notebook,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:nothing,nothing,nothing,nothing,没有什么；没有东西,nothing,5,yes,exact-single,1,KV001191,没有什么,pending-sense-confirmation,no
candidate:notice,notice,notice,notice,通知；告示,notice,1,yes,exact-single,1,KV001077,通知,pending-sense-confirmation,no
candidate:noticeboard,noticeboard,noticeboard,noticeboard,布告栏；公告栏,noticeboard,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:nottingham,nottingham,nottingham,Nottingham,诺丁汉,nottingham,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:november,november,november,November,十一月,nov.|november,17,yes,exact-single,1,KV000276,十一月,pending-sense-confirmation,no
candidate:now,now,now,now,现在；此刻,now,18,yes,exact-single,1,KV000826,现在,pending-sense-confirmation,no
candidate:nowadays,nowadays,nowadays,nowadays,现今；如今,nowadays,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:number,number,number,number,数字；号码,no.|number,14,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:nurse,nurse,nurse,nurse,护士,nurse,20,yes,exact-single,1,KV000423,护士,pending-sense-confirmation,no
candidate:nut,nut,nut,nut,坚果,nut,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:o'clock,o'clock,o'clock,o'clock,……点钟,o'clock,15,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:object,object,object,object,物体；物品,object,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:occupation,occupation,occupation,occupation,职业,occupation,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:ocean,ocean,ocean,ocean,海洋,ocean,4,yes,exact-single,1,KV001119,大海；海洋,pending-sense-confirmation,no
candidate:ocean park,ocean park,ocean park,Ocean Park,海洋公园,ocean park,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:october,october,october,October,十月,oct.|october,19,yes,exact-single,1,KV000275,十月,pending-sense-confirmation,no
candidate:octopus,octopus,octopus,octopus,章鱼,octopus,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:of,of,of,of,……的；属于……的,of,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:off,off,off,off,离开；脱离,off,2,yes,exact-single,1,KV001176,从（某处）落下,pending-sense-confirmation,no
candidate:office,office,office,office,办公室,office,11,yes,exact-single,1,KV000614,办公室,pending-sense-confirmation,no
candidate:office building,office building,office building,office building,办公楼,office building,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:office worker,office worker,office worker,office worker,办公室职员,office worker,1,yes,exact-single,1,KV000803,公司职员,pending-sense-confirmation,no
candidate:official,official,official,official,官方的；正式的,official,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:often,often,often,often,经常；常常,often,21,yes,exact-single,1,KV000351,经常；常常,pending-sense-confirmation,no
candidate:oil,oil,oil,oil,油,oil,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:oil painting,oil painting,oil painting,oil painting,油画,oil painting,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:oily,oily,oily,oily,油腻的；含油多的,oily,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:old,old,old,old,老的；年老的；旧的,old|older,30,yes,exact-single,1,KV000209,……岁的；年老的,pending-sense-confirmation,no
candidate:oldest,oldest,oldest,oldest,最老的；最旧的,oldest,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:olympic,olympic,olympic,Olympic,奥林匹克的,olympic,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:olympic games,olympic games,olympic games,Olympic Games,奥林匹克运动会；奥运会,olympic games,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:on,on,on,on,在……上面；在……上,on,23,yes,exact-single,1,KV000057,在……上面,pending-sense-confirmation,no
candidate:on foot,on foot,on foot,on foot,步行；徒步,on foot,11,yes,exact-single,1,KV000381,步行,pending-sense-confirmation,no
candidate:on holiday,on holiday,on holiday,on holiday,在度假；休假中,on holiday,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:on the left,on the left,on the left,on the left,在左边；在左侧,on the left,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:on the phone,on the phone,on the phone,on the phone,在打电话；通过电话,on the phone,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:on the right,on the right,on the right,on the right,在右边；在右侧,on the right,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:on the way,on the way,on the way,on the way,在路上；途中,on the way,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:on the weekend,on the weekend,on the weekend,on the weekend,在周末,on the weekend,1,yes,exact-single,1,KV000361,在周末,pending-sense-confirmation,no
candidate:once,once,once,once,一次,once,8,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:once a week,once a week,once a week,once a week,每周一次,once a week,1,yes,exact-single,1,KV000504,每周一次,pending-sense-confirmation,no
candidate:once upon a time,once upon a time,once upon a time,once upon a time,从前；很久很久以前,once upon a time,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:one,one,one,one,一；一个,one,24,yes,exact-single,1,KV000025,一；一个,pending-sense-confirmation,no
candidate:one by one,one by one,one by one,one by one,一个接一个地；逐个地,one by one,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:one day,one day,one day,one day,有一天；某一天,one day,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:onion,onion,onion,onion,洋葱,onion|onions,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:online,online,online,online,在线的；在线地,online,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:only,only,only,only,只；仅仅；唯一的,only,15,yes,exact-single,1,KV000560,只；仅仅,pending-sense-confirmation,no
candidate:open,open,open,open,打开；开着的；开放的,open,21,yes,exact-single,1,KV001021,开着的,pending-sense-confirmation,no
candidate:open day,open day,open day,open day,开放日,open day,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:opera,opera,opera,opera,歌剧；歌剧院,opera,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:opera house,opera house,opera house,opera house,歌剧院,opera house,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:opposite,opposite,opposite,opposite,在……对面；对面的,opposite,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:or,or,or,or,或者；还是,or,16,yes,exact-single,1,KV000118,或者,pending-sense-confirmation,no
candidate:orchard,orchard,orchard,orchard,果园,orchard,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:order,order,order,order,顺序；次序,order,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:ostrich,ostrich,ostrich,ostrich,鸵鸟,ostrich,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:other,other,other,other,其他的；另外的,other,11,yes,exact-single,1,KV001013,其他,pending-sense-confirmation,no
candidate:ottawa,ottawa,ottawa,Ottawa,渥太华（加拿大首都）,ottawa,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:our,our,our,our,我们的,our,19,yes,exact-single,1,KV000300,我们的,pending-sense-confirmation,no
candidate:ours,ours,ours,ours,我们的；我们的东西,ours,2,yes,exact-single,1,KV001025,我们的,pending-sense-confirmation,no
candidate:out,out,out,out,向外；出去,out,10,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:out of,out of,out of,out of,从……出来；离开,out of,1,yes,exact-single,1,KV000670,从……出来,pending-sense-confirmation,no
candidate:outdoor,outdoor,outdoor,outdoor,户外的；室外的,outdoor,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:outdoors,outdoors,outdoors,outdoors,在户外；在室外,outdoors,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:outgoing,outgoing,outgoing,outgoing,开朗的；外向的,outgoing,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:outing,outing,outing,outing,郊游；远足；短途旅行,outing,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:outside,outside,outside,outside,在外面；外面的,outside,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:over,over,over,over,在……上方；在……上面,over,12,yes,exact-multiple,2,KV000816|KV000863,在……的远端（或对面）|结束（的）,pending-multi-candidate-review,no
candidate:over here,over here,over here,over here,在这里；这边,over here,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:over there,over there,over there,over there,在那边；在那里,over there,11,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:owl,owl,owl,owl,猫头鹰,owl,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:own,own,own,own,自己的；拥有,own,3,yes,exact-single,1,KV001155,自己的,pending-sense-confirmation,no
candidate:ox,ox,ox,ox,牛；公牛,ox,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:oxford,oxford,oxford,Oxford,牛津（英国城市）,oxford,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:p.m.,p.m.,p.m.,p.m.,下午；午后,p.m.,3,yes,exact-single,1,KV000982,午后；下午,pending-sense-confirmation,no
candidate:pack,pack,pack,pack,打包；收拾,pack,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:packet,packet,packet,packet,小包；一包,packet,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pad,pad,pad,pad,护垫；护具,pad,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:page,page,page,page,页；页面,page,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pain,pain,pain,pain,疼痛；痛,pain,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:paint,paint,paint,paint,画；绘画；颜料,paint|painted|paints,20,yes,exact-multiple,2,KV000365|KV000995,油漆；给……刷漆|用颜料绘画,pending-multi-candidate-review,no
candidate:paintbrush,paintbrush,paintbrush,paintbrush,画笔,paintbrush,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:painter,painter,painter,painter,画家；油漆工,painter,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:painting,painting,painting,painting,画；绘画作品,painting,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pair,pair,pair,pair,一双；一对,pair,7,yes,exact-single,1,KV000868,一条，一副,pending-sense-confirmation,no
candidate:palace,palace,palace,palace,宫殿,palace,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:palace museum,palace museum,palace museum,Palace Museum,故宫博物院,palace museum,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pan,pan,pan,pan,平底锅,pan,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pancake,pancake,pancake,pancake,薄饼；煎饼,pancake,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:panda,panda,panda,panda,熊猫,panda,23,yes,exact-single,1,KV000544,熊猫,pending-sense-confirmation,no
candidate:pants,pants,pants,pants,裤子,pants,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:papa westray,papa westray,papa westray,Papa Westray,帕帕韦斯特雷岛,papa westray,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:paper,paper,paper,paper,纸；纸张,paper,12,yes,exact-single,1,KV000402,纸,pending-sense-confirmation,no
candidate:paper clip,paper clip,paper clip,paper clip,回形针,paper clip,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:paper cutting,paper cutting,paper cutting,paper cutting,剪纸；剪纸艺术,paper cutting,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:parade,parade,parade,parade,游行,parade,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:parent,parent,parent,parent,父亲或母亲；家长,parent|parents,19,yes,exact-single,1,KV000922,父亲；母亲,pending-sense-confirmation,no
candidate:parents' day,parents' day,parents' day,Parents' Day,家长日,parents' day,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:paris,paris,paris,Paris,巴黎（法国首都）,paris,2,yes,exact-single,1,KV001061,巴黎,pending-sense-confirmation,no
candidate:park,park,park,park,公园,park,24,yes,exact-single,1,KV000131,公园,pending-sense-confirmation,no
candidate:parking,parking,parking,parking,停车,parking,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:parrot,parrot,parrot,parrot,鹦鹉,parrot,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:part,part,part,part,部分；一部分,part,4,yes,exact-single,1,KV001182,角色,pending-sense-confirmation,no
candidate:participate,participate,participate,participate,参加；参与,participate,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:partner,partner,partner,partner,伙伴；搭档,partner,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:party,party,party,party,聚会；派对,party,22,yes,exact-single,1,KV000280,聚会；派对,pending-sense-confirmation,no
candidate:passed,passed,passed,passed,经过；通过,passed,1,no,no-existing-match,0,,,pending-new-identity-review,no
candidate:passenger,passenger,passenger,passenger,乘客；旅客,passenger,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:passport,passport,passport,passport,"护照,通行证",passport,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:password,password,password,password,密码；口令,password,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:past#clock,past#clock,past,past,过（用于钟点）,past,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:past#history,past#history,past,past,过去；从前,past,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:past#movement,past#movement,past,past,经过；越过,past,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pat,pat,pat,pat,轻拍,pat|patted,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:path,path,path,path,小路；道路,path,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:patient,patient,patient,patient,有耐心的,patient,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pavement,pavement,pavement,pavement,人行道,pavement,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pay,pay,pay,pay,支付；付款,pay,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pay attention to,pay attention to,pay attention to,pay attention to,注意；留意,pay attention to,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pe class,pe class,pe class,PE class,体育课,pe class,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pea,pea,pea,pea,豌豆,pea,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:peace,peace,peace,peace,和平,peace,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:peach,peach,peach,peach,桃；桃子,peach,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:peacock,peacock,peacock,peacock,孔雀,peacock,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:peanut,peanut,peanut,peanut,花生,peanut,4,yes,exact-single,1,KV000722,花生,pending-sense-confirmation,no
candidate:pear,pear,pear,pear,梨；梨子,pear,17,yes,exact-single,1,KV000046,梨,pending-sense-confirmation,no
candidate:pen,pen,pen,pen,钢笔；笔,pen,18,yes,exact-single,1,KV000396,钢笔,pending-sense-confirmation,no
candidate:pen friend,pen friend,pen friend,pen friend,笔友,pen friend,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pen holder,pen holder,pen holder,pen holder,笔筒；笔架,pen holder,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pen pal,pen pal,pen pal,pen pal,笔友,pen pal,3,yes,exact-single,1,KV000760,笔友,pending-sense-confirmation,no
candidate:pencil,pencil,pencil,pencil,铅笔,pencil,23,yes,exact-single,1,KV000003,铅笔,pending-sense-confirmation,no
candidate:pencil box,pencil box,pencil box,pencil box,铅笔盒；文具盒,pencil box,6,yes,exact-single,1,KV000558,铅笔盒,pending-sense-confirmation,no
candidate:pencil case,pencil case,pencil case,pencil case,铅笔盒；笔袋,pencil case|pencil-case,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pencil sharpener,pencil sharpener,pencil sharpener,pencil sharpener,卷笔刀；削笔器,pencil sharpener,1,yes,exact-single,1,KV000556,卷笔刀,pending-sense-confirmation,no
candidate:pencil-box,pencil-box,pencil-box,pencil-box,铅笔盒,pencil-box,3,yes,orthographic-single,1,KV000558,铅笔盒,pending-orthographic-review,no
candidate:penguin,penguin,penguin,penguin,企鹅,penguin,1,yes,exact-single,1,KV000715,企鹅,pending-sense-confirmation,no
candidate:people,people,people,people,人；人们,people,18,yes,exact-single,1,KV000435,人们,pending-sense-confirmation,no
candidate:pepper,pepper,pepper,pepper,甜椒；辣椒,pepper,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:peppers,peppers,peppers,peppers,甜椒；辣椒,peppers,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:perfect,perfect,perfect,perfect,完美的；极好的,perfect,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:perform,perform,perform,perform,表演；演出,perform,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:perhaps,perhaps,perhaps,perhaps,也许；或许,perhaps,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:person,person,person,person,人；个人,person,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:personal,personal,personal,personal,个人的；私人的,personal,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pest,pest,pest,pest,害虫,pest,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pet,pet,pet,pet,宠物,pet,5,yes,exact-single,1,KV000246,宠物,pending-sense-confirmation,no
candidate:phone,phone,phone,phone,电话；手机,phone,11,yes,exact-single,1,KV000408,电话；打电话,pending-sense-confirmation,no
candidate:phone box,phone box,phone box,phone box,电话亭,phone box,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:phone call,phone call,phone call,phone call,电话；电话通话,phone call,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:phone number,phone number,phone number,phone number,电话号码,phone number,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:photo,photo,photo,photo,照片,photo,19,yes,exact-single,1,KV000821,照片,pending-sense-confirmation,no
candidate:photograph,photograph,photograph,photograph,照片；相片,photograph,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:photographer,photographer,photographer,photographer,摄影师,photographer,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:physical education,physical education,physical education,physical education,体育；体育课,p.e.|pe|physical education,22,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:physics,physics,physics,physics,物理学,physics,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pianist,pianist,pianist,pianist,钢琴家；钢琴演奏者,pianist,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:piano,piano,piano,piano,钢琴,piano,11,yes,exact-single,1,KV000909,钢琴,pending-sense-confirmation,no
candidate:picasso,picasso,picasso,Picasso,毕加索,picasso,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pick,pick,pick,pick,挑选；选择,pick,11,yes,exact-single,1,KV000889,采；摘,pending-sense-confirmation,no
candidate:pick apples,pick apples,pick apples,pick apples,摘苹果,pick apples,1,yes,exact-single,1,KV000992,摘苹果,pending-sense-confirmation,no
candidate:pick fruit,pick fruit,pick fruit,pick fruit,摘水果,pick fruit,1,yes,exact-single,1,KV000357,摘水果,pending-sense-confirmation,no
candidate:pick up,pick up,pick up,pick up,捡起；拾起,pick up,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:picnic,picnic,picnic,picnic,野餐,picnic,10,yes,exact-single,1,KV000990,野餐,pending-sense-confirmation,no
candidate:picture,picture,picture,picture,图片；图画；照片,picture,18,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pie,pie,pie,pie,馅饼；派,pie,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:piece,piece,piece,piece,块；片；件,piece,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pig,pig,pig,pig,猪,pig,16,yes,exact-single,1,KV000547,猪,pending-sense-confirmation,no
candidate:pill,pill,pill,pill,药丸；药片,pill,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pillow,pillow,pillow,pillow,枕头,pillow,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pilot,pilot,pilot,pilot,飞行员,pilot,8,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pineapple,pineapple,pineapple,pineapple,菠萝；凤梨,pineapple,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:ping-pong,ping-pong,ping-pong,ping-pong,乒乓球,ping-pong,6,yes,exact-single,1,KV000348,乒乓球,pending-sense-confirmation,no
candidate:pink,pink,pink,pink,粉红色；粉红色的,pink,12,yes,exact-single,1,KV000994,粉色；粉色的,pending-sense-confirmation,no
candidate:pirate,pirate,pirate,pirate,海盗,pirate,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pity,pity,pity,pity,遗憾；可惜,pity,1,yes,exact-single,1,KV000762,遗憾；可惜,pending-sense-confirmation,no
candidate:pizza,pizza,pizza,pizza,比萨饼；披萨,pizza,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:place,place,place,place,地方；地点,place,15,yes,exact-single,1,KV000468,地方,pending-sense-confirmation,no
candidate:place of interest,place of interest,place of interest,place of interest,名胜；景点,place of interest,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:places of interest,places of interest,places of interest,places of interest,名胜；景点,places of interest,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plan,plan,plan,plan,计划；打算,plan|planned,12,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plane,plane,plane,plane,飞机,plane,19,yes,exact-single,1,KV000068,飞机,pending-sense-confirmation,no
candidate:planet,planet,planet,planet,行星,planet,3,yes,exact-single,1,KV001111,行星,pending-sense-confirmation,no
candidate:plant trees,plant trees,plant trees,plant trees,植树；种树,plant trees,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:planted,planted,planted,planted,种植了；栽种了（plant 的过去式/过去分词）,planted,1,no,no-existing-match,0,,,pending-new-identity-review,no
candidate:plaster,plaster,plaster,plaster,膏药；创可贴,plaster,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plastic,plastic,plastic,plastic,塑料；塑料的,plastic,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plastic bag,plastic bag,plastic bag,plastic bag,塑料袋,plastic bag,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plate,plate,plate,plate,盘子；碟子,plate,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play basketball,play basketball,play basketball,play basketball,打篮球,play basketball,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play chess,play chess,play chess,play chess,下棋；下象棋,play chess,5,yes,exact-single,1,KV000305,下棋,pending-sense-confirmation,no
candidate:play computer games,play computer games,play computer games,play computer games,玩电脑游戏,play computer games,2,yes,exact-single,1,KV000358,玩电脑游戏,pending-sense-confirmation,no
candidate:play football,play football,play football,play football,踢足球,play football,11,yes,exact-single,1,KV000153,踢足球,pending-sense-confirmation,no
candidate:play games,play games,play games,play games,玩游戏；做游戏,play games,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play ping-pong,play ping-pong,play ping-pong,play ping-pong,打乒乓球,play ping-pong,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play sport,play sport,play sport,play sport,做运动；参加体育运动,play sport,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play sports,play sports,play sports,play sports,做运动；参加体育运动,play sports,5,yes,exact-single,1,KV000303,做运动；参加体育活动,pending-sense-confirmation,no
candidate:play the guitar,play the guitar,play the guitar,play the guitar,弹吉他,play the guitar,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play the piano,play the piano,play the piano,play the piano,弹钢琴,play the piano,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play the pipa,play the pipa,play the pipa,play the pipa,弹琵琶；演奏琵琶,play the pipa,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play the violin,play the violin,play the violin,play the violin,拉小提琴,play the violin,3,yes,exact-single,1,KV000498,拉小提琴,pending-sense-confirmation,no
candidate:play volleyball,play volleyball,play volleyball,play volleyball,打排球,play volleyball,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:play with fire,play with fire,play with fire,play with fire,玩火,play with fire,1,yes,exact-single,1,KV000414,玩火,pending-sense-confirmation,no
candidate:played,played,played,played,玩；演奏；参加比赛,played,1,no,no-existing-match,0,,,pending-new-identity-review,no
candidate:player,player,player,player,运动员；选手,player,5,yes,exact-single,1,KV000903,运动员；参赛选手,pending-sense-confirmation,no
candidate:playground,playground,playground,playground,操场；游乐场,playground,19,yes,exact-single,1,KV000295,操场,pending-sense-confirmation,no
candidate:playtime,playtime,playtime,playtime,游戏时间；玩耍时间,playtime,1,yes,exact-single,1,KV000189,游戏时间；课间活动时间,pending-sense-confirmation,no
candidate:please,please,please,please,请,please,21,yes,exact-single,1,KV000404,请,pending-sense-confirmation,no
candidate:pleased,pleased,pleased,pleased,高兴的；满意的,pleased,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plenty,plenty,plenty,plenty,大量；充足,plenty,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plum,plum,plum,plum,李子；梅子,plum,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:plus,plus,plus,plus,加；加上,plus,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pm,pm,pm,pm,下午；午后（p.m.）,pm,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pocket,pocket,pocket,pocket,口袋,pocket,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:pod,pod,pod,pod,豆荚,pod,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:poem,poem,poem,poem,诗；诗歌,poem,3,yes,exact-single,1,KV000747,诗,pending-sense-confirmation,no
candidate:poet,poet,poet,poet,诗人,poet,1,yes,exact-single,1,KV000743,诗人,pending-sense-confirmation,no
candidate:polar bear,polar bear,polar bear,polar bear,北极熊,polar bear,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:police,police,police,police,警察；警方,police,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:police officer,police officer,police officer,police officer,警察；警官,police officer,5,yes,exact-single,1,KV000427,警察；警官,pending-sense-confirmation,no
candidate:police station,police station,police station,police station,警察局；派出所,police station,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:policeman,policeman,policeman,policeman,警察；男警察,policeman|policemen,17,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:policewoman,policewoman,policewoman,policewoman,女警察；女警官,policewoman,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:policewomen,policewomen,policewomen,policewomen,女警察（复数）,policewomen,1,yes,no-existing-match,0,,,pending-new-identity-review,no
