MatchKey,DisplayForms,Definitions,BeijingContexts,RenjiaoContexts,RiskSignals,ReviewStatus,ProposedDecision,ProposedSense,Rationale
shirt,shirt,"n. 衬衫;汗衫,内衣",2年级下@r48:[phone / where / <shirt> / find / coat],1年级下@r40:[thirsty / thanks / <shirt> / T-shirt / skirt] || 3年级上@r89:[skirt / dress / <shirt> / January / February],multiple-occurrences,pending,,,
shop,shop,n. 商店;店铺 vt. 购物 vi. 购物;买东西,4年级上@r42:[how much / buy / <shop> / sell / eat],4年级上@r80:[pencil / schoolbag / <shop> / climb on the window ledge / dangerous],multi-pos-gloss,pending,,,
short,short,"n. 短;缺乏;短路;短裤 adj. 短的;不足的;矮的,低的 adv. 不足;突然;唐突地",2年级上@r63:[long / and / <short> / me / arm],2年级上@r26:[pretty / thin / <short> / handsome / new] || 3年级上@r71:[tiger / big / <short> / cap / coat],multi-pos-gloss|multiple-occurrences,pending,,,
shorts,shorts,n. 短裤,2年级下@r56:[that / schoolbag / <shorts> / not / bag],1年级下@r45:[dress / socks / <shorts> / your] || 3年级上@r85:[look forward to / T-shirt / <shorts> / socks / skirt],multiple-occurrences,pending,,,
sister,sister,n. 姐妹;(称志同道合者)姐妹;修女;护士 adj. 姐妹般的;同类型的,5年级下@r37:[travel / son / <sister> / eighteen / lovely],2年级上@r5:[mother / brother / <sister> / grandmother / grandfather] || 3年级下@r60:[mother / brother / <sister> / cooking dinner / walking the dog],multi-pos-gloss|multiple-occurrences,pending,,,
ski,ski,n. 滑雪橇 vi. 滑雪 adj. 滑雪(用)的,5年级上@r58:[baseball / team / <ski> / winter / fast],4年级下@r46:[dream / sea / <ski> / eat seafood / visit the Mogao Caves],multi-pos-gloss,pending,,,
skirt,skirt,"n. 裙子 vt. 绕过,回避;位于...边缘 vi. 沿边走,绕开;环绕",1年级上@r32:[UFO / hut / <skirt> / wood / bird] || 6年级下@r24:[grass / feed / <skirt> / sock / crayon],1年级下@r42:[shirt / T-shirt / <skirt> / dress / socks] || 3年级上@r87:[shorts / socks / <skirt> / dress / shirt],multi-pos-gloss|multiple-occurrences,pending,,,
small,small,"n. 小件物品;矮小的人 adj. 少的,小的;微弱的;几乎没有的;不重要的;幼小的 adv. 小小地;卑鄙地",2年级上@r68:[leg / body / <small> / hand / thank],3年级上@r59:[snake / turtle / <small> / long / look for],multi-pos-gloss,pending,,,
snake,snake,n. 蛇;阴险的人 vt. 拉(木材等);迂回前进 vi. 迂回前进,1年级下@r28:[tiger / panda / <snake> / elephant / fox],3年级上@r57:[rabbit / pet / <snake> / turtle / small],multi-pos-gloss,pending,,,
snow,snow,"n. 雪,积雪;下雪 vt. 使纷纷落下;使变白 vi. 降雪",2年级下@r75:[green / white / <snow> / cool / cold],4年级上@r56:[film / earth / <snow> / theatre / come],multi-pos-gloss,pending,,,
sorry,sorry,"adj. 遗憾的;对不起的,抱歉的 int. 对不起,抱歉(表示委婉的拒绝等)",4年级上@r50:[duck / soup / <sorry> / pie / chicken],1年级下@r24:[can / sure / <sorry> / rice / noodles],multi-pos-gloss,pending,,,
sound,sound,"n. 声音,语音;噪音;海峡;吵闹;听力范围;[医] 探条 adj. 健全的,健康的;合理的;可靠的;有效彻底的 vt. 听(诊);测量,测...深;使发声;试探;宣告 vi. 听起来;发出声音;回响;测深 adv. 彻底地,充分地",4年级下@r44:[about / boat / <sound> / safe / dangerous],4年级上@r111:[just / myself / <sound> / Monday / Tuesday],multi-pos-gloss,pending,,,
soup,soup,"n. 汤,羹;马力 vt. 加速;增加马力",4年级上@r49:[cook / duck / <soup> / sorry / pie],6年级上@r3:[morning tea / <soup> / garden / the Potala Palace],multi-pos-gloss,pending,,,
speak,speak,vi. 说话;演讲;表明;陈述 vt. 讲话;发言;讲演,4年级上@r11:[get well / upset / <speak> / robot / housework],6年级上@r34:[the White House / clock / <speak> / French / Tower Bridge],multi-pos-gloss,pending,,,
spring,spring,n. 春天;弹簧;泉水;活力;跳跃 adj. 春天的 vt. 使跳起;使爆炸;突然提出;使弹开 vi. 生长;涌出;跃出;裂开,2年级下@r80:[make / which / <spring>],2年级下@r18:[wow / let's / <spring> / summer / autumn],multi-pos-gloss,pending,,,
square,square,n. 平方;广场;正方形 adj. 平方的;正方形的;直角的;正直的 vt. 使成方形;与...一致 vi. 一致;成方形 adv. 成直角地,3年级下@r18:[watch / from / <square> / black / shape],4年级下@r30:[sports centre / hotel / <square> / buy toys / see a film],multi-pos-gloss,pending,,,
stamp,stamp,n. 邮票;印记;标志;跺脚 vt. 铭记;标出;盖章于...;贴邮票于...;用脚踩踏 vi. 跺脚;捣碎;毁掉,6年级上@r65:[choose / start / <stamp> / collect / show],4年级下@r64:[different / hobby / <stamp> / catch / go for a picnic],multi-pos-gloss,pending,,,
star,star,"n. 星,恒星;明星;星形物 adj. 明星的,主角的;星形的 vt. 用星号标于;由...主演,由...担任主角 vi. 担任主角",1年级上@r2:[<star> / moon / night] || 3年级上@r87:[gift / pink / <star> / bell / together],4年级下@r39:[thing / stay / <star> / king / central],multi-pos-gloss|multiple-occurrences,pending,,,
station,station,n. 车站;驻地;地位;身份 vt. 配置;安置;驻扎,4年级下@r30:[grey / beside / <station> / far / way],4年级下@r35:[go boating / busy / <station> / place / thing],multi-pos-gloss,pending,,,
stay,stay,n. 逗留;停止;支柱 vi. 停留;坚持;暂住;停下 vt. 坚持;暂住;抑制,6年级下@r47:[under / friendly / <stay> / most / summer],4年级下@r38:[place / thing / <stay> / star / king],multi-pos-gloss,pending,,,
stop,stop,n. 停止;车站;障碍;逗留 vi. 停止;中止;逗留;被塞住 vt. 停止;堵塞;断绝,6年级上@r38:[those / modern / <stop> / ago / hold] || 6年级下@r33:[student / protect / <stop> / litter / answer],4年级上@r89:[wait for / safe / <stop> / street / safety rule],multi-pos-gloss|multiple-occurrences,pending,,,
story,story,n. 故事;小说;新闻报道;来历;假话 vt. 用历史故事画装饰 vi. 说谎,3年级下@r71:[teeth / lesson / <story>],6年级上@r88:[invent / study / <story> / university / deaf],multi-pos-gloss,pending,,,
street,street,n. 街道 adj. 街道的,6年级下@r17:[head / only / <street> / garden / vacation],4年级上@r90:[safe / stop / <street> / safety rule / green] || 4年级下@r27:[ball / city / <street> / sports centre / hotel],multi-pos-gloss|multiple-occurrences,pending,,,
study,study,"n. 学习,研究;课题;书房;学问 vt. 学习;考虑;攻读;细察 vi. 研究;用功",5年级下@r50:[pilot / should / <study> / cap / birthday],3年级下@r78:[bathroom / dining room / <study> / kitchen / for rent] || 6年级上@r87:[invention / invent / <study> / story / university],multi-pos-gloss|multiple-occurrences,pending,,,
subject,subject,n. 主题;科目;[语] 主语;国民 adj. 服从的;易患...的;受制于...的 vt. 使...隶属;使屈从于...,5年级上@r9:[difficult / maths / <subject> / draw / art],5年级下@r17:[a lot of / sleepy / <subject> / mark / advice],multi-pos-gloss,pending,,,
summer,summer,n. 夏季;全盛时期 adj. 夏季的 vi. 避暑;过夏天,6年级下@r49:[stay / most / <summer> / weekend / clear],2年级下@r19:[let's / spring / <summer> / autumn / winter],multi-pos-gloss,pending,,,
supermarket,supermarket,n. 超级市场;自助售货商店,5年级上@r2:[<supermarket> / meat / juice],2年级上@r33:[zoo / school / <supermarket> / park / hospital] || 4年级下@r24:[bookshop / school / <supermarket> / ball / city],multiple-occurrences,pending,,,
sure,sure,adj. 确信的;可靠的;必定的 adv. 当然;的确,3年级下@r40:[may / tea / <sure> / child / children],1年级下@r23:[bear / can / <sure> / sorry / rice],multi-pos-gloss,pending,,,
swim,swim,n. 游泳;漂浮;眩晕 adj. 游泳时穿戴的 vi. 游泳;漂浮;浸;眩晕 vt. 游过;使浮起,6年级上@r4:[play / farm / <swim> / strong / some],2年级下@r6:[ride a bike / make a model plane / <swim> / make a snowman / can't] || 3年级下@r40:[fly a kite / ride a bike / <swim> / make a model plane / make a snowman] || 4年级上@r12:[be good at / late / <swim> / friend / father],multi-pos-gloss|multiple-occurrences,pending,,,
talk,talk,n. 谈话;演讲;空谈 vi. 谈话;说闲话 vt. 说;谈话;讨论,5年级下@r6:[textbook / TV / <talk> / chess / photo],5年级上@r11:[active / popular / <talk> / party / all],multi-pos-gloss,pending,,,
tall,tall,adj. 高的;长的;过分的;夸大的 adv. 夸大地,5年级上@r65:[cousin / brave / <tall> / driver / early],2年级上@r23:[or / big / <tall> / pretty / thin],multi-pos-gloss,pending,,,
tea,tea,n. 茶叶;茶树;茶点 vt. 给...沏茶 vi. 喝茶;进茶点,3年级下@r39:[drink / may / <tea> / sure / child],1年级下@r35:[and / juice / <tea> / milk / water],multi-pos-gloss,pending,,,
teach,teach,vt. 教;教授;教导 vi. 教授;讲授;当老师,5年级下@r53:[cap / birthday / <teach> / engineer / exercise],4年级上@r108:[sick / people / <teach> / just / myself] || 5年级上@r25:[nice / young / <teach> / guess / has],multi-pos-gloss|multiple-occurrences,pending,,,
teacher,teacher,n. 教师;导师,3年级上@r17:[sixth / seventh / <teacher> / card / tenth],1年级上@r6:[pencil / schoolbag / <teacher> / I / have] || 4年级上@r117:[Thursday / Friday / <teacher>],multiple-occurrences,pending,,,
thank,thank,n. 感谢 vt. 感谢 int. 谢谢,2年级上@r70:[small / hand / <thank> / old / eight],2年级上@r54:[here / for / <thank> / happy],multi-pos-gloss,pending,,,
that,that,conj. 因为;以至于 adj. 那;那个 pron. 那;那个 adv. 那么;那样,2年级下@r54:[this / jacket / <that> / schoolbag / shorts],3年级下@r11:[computer class / we / <that> / classroom / library],multi-pos-gloss,pending,,,
the,the,"art. 这;那 adv. 更加(用于比较级,最高级前)",2年级上@r20:[we / to / <the> / Sunday / zoo],1年级下@r9:[in / where / <the> / light / bed],multi-pos-gloss,pending,,,
there,there,n. 那个地方 adv. 在那里;在那边;在那点上 int. 你瞧,4年级上@r16:[Ms / Mrs / <there> / really / bring],1年级上@r39:[many / are / <there> / black / yellow],multi-pos-gloss,pending,,,
thin,thin,n. 细小部分 adj. 薄的;瘦的;稀薄的;微弱的 vt. 使瘦;使淡;使稀疏 vi. 变薄;变瘦;变淡 adv. 稀疏地;微弱地,2年级上@r50:[baby / cat / <thin> / dog / toy],2年级上@r25:[tall / pretty / <thin> / short / handsome],multi-pos-gloss,pending,,,
thirty,thirty,num. 三十 n. 三十年代 adj. 三十个的,2年级下@r6:[nice / when / <thirty> / home / five],2年级下@r31:[twelve / twenty / <thirty> / forty / fifty],multi-pos-gloss,pending,,,
this,this,adj. 这;本;这个;今 pron. 这;这个;这里 adv. 这样地;这么,2年级下@r52:[coat / sofa / <this> / jacket / that],1年级上@r16:[nose / mouth / <this> / is / my],multi-pos-gloss,pending,,,
three,three,"num. 三 n. 三,三个 adj. 三的,三个的",2年级上@r43:[our / two / <three> / after / elephant],1年级上@r28:[one / two / <three> / four / five],multi-pos-gloss,pending,,,
thursday,Thursday,n. 星期四,6年级上@r7:[strong / some / <Thursday> / mountain / let],2年级下@r53:[Tuesday / Wednesday / <Thursday> / Friday / Saturday] || 4年级上@r115:[Tuesday / Wednesday / <Thursday> / Friday / teacher],multiple-occurrences,pending,,,
tiger,tiger,n. 老虎;凶暴的人,1年级下@r26:[yogurt / zoo / <tiger> / panda / snake] || 6年级上@r56:[clothes / hobby / <tiger> / twelve / animal],1年级上@r21:[dog / bird / <tiger> / monkey / cat] || 3年级上@r69:[fish / monkey / <tiger> / big / short],multiple-occurrences,pending,,,
time,time,n. 时间;时代;次数;节拍;倍数 adj. 定时的;定期的;分期的 vt. 计时;测定...的时间;安排...的速度,2年级下@r2:[<time> / o'clock / nice],2年级下@r37:[fourteen / fifteen / <time> / playtime / get up],multi-pos-gloss,pending,,,
tired,tired,"v. 疲倦;对...腻烦(tire的过去分词形式) adj. 疲倦的;厌倦的,厌烦的",6年级下@r42:[save / also / <tired> / thirsty / toilet],5年级下@r7:[early / exercise / <tired> / drink / before],multi-pos-gloss,pending,,,
to,to,prep. 到;向;(表示时间、方向)朝...方向 adv. 向前;(门等)关上,2年级上@r19:[class / we / <to> / the / Sunday],2年级上@r37:[hospital / go / <to> / grass / tree],multi-pos-gloss,pending,,,
today,today,n. 今天;现今 adv. 今天;现今,3年级上@r30:[December / date / <today> / thirteenth / football],2年级下@r56:[Friday / Saturday / <today>],multi-pos-gloss,pending,,,
together,together,"adj. 新潮的;情绪稳定的,做事有效率的 adv. 一起;同时;相互;连续地;总共",3年级上@r89:[star / bell / <together> / bright / house],5年级下@r43:[have a picnic / office / <together> / special / send an email] || 6年级下@r26:[talk about / hockey / <together> / special / beaver],multi-pos-gloss|multiple-occurrences,pending,,,
toilet,toilet,"n. 厕所,盥洗室;梳妆,打扮 vt. 给...梳妆打扮 vi. 梳妆,打扮",6年级下@r44:[tired / thirsty / <toilet> / under / friendly],3年级下@r14:[classroom / library / <toilet> / playground / first],multi-pos-gloss,pending,,,
tomorrow,tomorrow,n. 明天;未来 adv. 明天;未来地(等于to-morrow),3年级下@r2:[<tomorrow> / woman / women],3年级下@r34:[read books / really / <tomorrow> / wake up / be back],multi-pos-gloss,pending,,,
tongue,tongue,n. 舌头;语言 vt. 舔;斥责;用舌吹 vi. 说话;吹管乐器,5年级上@r37:[night / as / <tongue> / the U.S.A. / the United States of America],3年级上@r26:[bad / bite / <tongue> / kick / morning],multi-pos-gloss,pending,,,
toy,toy,n. 玩具;小装饰品;不值钱的东西 adj. 作为玩具的;玩物似的 vi. 玩弄;调情;随随便便地对待,2年级上@r52:[thin / dog / <toy> / monkey / these],4年级下@r20:[before / leave / <toy> / hospital / bookshop],multi-pos-gloss,pending,,,
travel,travel,n. 旅行;游历;漫游 vt. 经过;在...旅行 vi. 旅行;行进;步行;交往,5年级下@r35:[else / both / <travel> / son / sister],4年级下@r54:[take photos / summer vacation / <travel> / reading / skateboarding],multi-pos-gloss,pending,,,
tree,tree,n. 树;木料;树状物 vt. 把...赶上树 vi. 爬上树;逃上树,2年级上@r76:[look / at / <tree> / big / new],2年级上@r39:[to / grass / <tree> / flower / boat],multi-pos-gloss,pending,,,
tuesday,Tuesday,n. 星期二,2年级上@r5:[day / it / <Tuesday> / I / Wednesday],2年级下@r51:[Sunday / Monday / <Tuesday> / Wednesday / Thursday] || 4年级上@r113:[sound / Monday / <Tuesday> / Wednesday / Thursday],multiple-occurrences,pending,,,
twelfth,twelfth,"n. 第十二;月的第十二日 adj. 第十二的,第十二个的;十二分之一的|n. 第十二;月的第十二日 adj. 第十二的,第十二个",3年级上@r27:[November / right / <twelfth> / December / date],5年级下@r34:[tenth / 10th / <twelfth> / 12th / twenty-fifth],multi-pos-gloss,pending,,,
twelve,twelve,num. 十二;十二个 n. 十二;十二个 adj. 十二的;十二个的,6年级上@r57:[hobby / tiger / <twelve> / animal / rat],2年级下@r29:[season / eleven / <twelve> / twenty / thirty],multi-pos-gloss,pending,,,
twenty,twenty,num. 二十 n. 二十;二十年代 adj. 二十的,2年级下@r11:[fifty / nine / <twenty> / sleep / good],2年级下@r30:[eleven / twelve / <twenty> / thirty / forty],multi-pos-gloss,pending,,,
two,two,num. 二 n. 两个 adj. 两个的,2年级上@r42:[nineteen / our / <two> / three / after],1年级上@r27:[it / one / <two> / three / four],multi-pos-gloss,pending,,,
under,under,"prep. 低于,少于;在...之下 adj. 下面的;从属的 adv. 在下面;在下方",6年级下@r45:[thirsty / toilet / <under> / friendly / stay],1年级下@r6:[blackboard / on / <under> / in / where],multi-pos-gloss,pending,,,
use,use,"n. 使用;用途;发挥 vt. 利用;耗费 vi. 使用,运用",6年级下@r4:[a few / ground / <use> / cup / worried],4年级上@r69:[glue stick / paper / <use> / please / find],multi-pos-gloss,pending,,,
vacation,vacation,"n. 假期;(房屋)搬出 vi. 休假,度假",6年级下@r19:[street / garden / <vacation> / shoulder / flower],6年级上@r8:[the Summer Palace / the Terracotta Army / <vacation> / taste / map],multi-pos-gloss,pending,,,
vegetable,vegetable,n. 蔬菜;植物;植物人 adj. 蔬菜的;植物的,2年级下@r31:[dear / orange / <vegetable> / evening / room],1年级下@r27:[rice / noodles / <vegetable> / fish / chicken],multi-pos-gloss,pending,,,
want,want,n. 需要;缺乏;贫困;必需品 vt. 需要;希望;应该;缺少 vi. 需要;缺少,2年级下@r43:[table / bathroom / <want> / call / mum],1年级下@r32:[egg / hungry / <want> / and / juice],multi-pos-gloss,pending,,,
warm,warm,n. 取暖;加热 adj. 温暖的;热情的 vt. 使...兴奋;使...温暖;使...感兴趣 vi. 同情;激动;变温暖,3年级上@r57:[like / sunny / <warm> / hot / cool],2年级下@r23:[winter / hot / <warm> / cool / cold],multi-pos-gloss,pending,,,
water,water,"n. 水;海水;雨水;海域,大片的水 vt. 使湿;供以水;给...浇水 vi. 加水;流泪;流口水",3年级下@r49:[dance / pencil case / <water> / bottle / look],1年级下@r37:[tea / milk / <water> / thirsty / thanks],multi-pos-gloss,pending,,,
weather,weather,n. 天气;气象;气候;处境 vt. 经受住;使风化;侵蚀;使受风吹雨打 adj. 露天的;迎风的 vi. 风化;受侵蚀;经受风雨,3年级上@r54:[How old ...? / July / <weather> / like / sunny],2年级下@r15:[sunny / umbrella / <weather> / wow / let's],multi-pos-gloss,pending,,,
wednesday,Wednesday,n. 星期三,2年级上@r7:[Tuesday / I / <Wednesday> / go / on],2年级下@r52:[Monday / Tuesday / <Wednesday> / Thursday / Friday] || 4年级上@r114:[Monday / Tuesday / <Wednesday> / Thursday / Friday],multiple-occurrences,pending,,,
welcome,welcome,n. 欢迎 vt. 欢迎 adj. 受欢迎的 int. 欢迎,6年级下@r70:[behind / stand / <welcome> / between],3年级下@r54:[ok / much / <welcome> / grandfather / grandmother],multi-pos-gloss,pending,,,
west,west,n. 西;西方;西部 adj. 西方的;朝西的 adv. 在西方;向西方;自西方,6年级上@r28:[angry / hill / <west> / around / many],6年级上@r14:[south / east / <west> / famous / temple],multi-pos-gloss,pending,,,
what,what,"pron. 什么;多么;多少 adv. 到什么程度,在哪一方面 adj. 什么;多么;何等 int. 什么;多么",2年级上@r2:[<what> / day / it],1年级上@r24:[monkey / cat / <what> / it / one],multi-pos-gloss,pending,,,
when,when,"conj. 考虑到;既然;当...时;在...时;如果 n. 时间,时候;日期;场合 adv. 什么时候,何时;(用于时间的表达方式之后)在那时;其时;当时 pron. 那时;什么时侯",2年级下@r5:[o'clock / nice / <when> / thirty / home],2年级下@r46:[eat dinner / go to bed / <when> / every day / at],multi-pos-gloss,pending,,,
where,where,conj. 在...的地方 n. 地点 adv. 在哪里 pron. 哪里,2年级下@r47:[mum / phone / <where> / shirt / find],1年级下@r8:[under / in / <where> / the / light],multi-pos-gloss,pending,,,
why,why,int. 哎呀!什么? adv. 为什么,4年级上@r4:[again / glad / <why> / book / sad],5年级上@r38:[farm / fast / <why> / lovely / butterfly],multi-pos-gloss,pending,,,
winter,winter,n. 冬季;年岁;萧条期 adj. 冬天的;越冬的 vi. 过冬,5年级上@r59:[team / ski / <winter> / fast / panda],2年级下@r21:[summer / autumn / <winter> / hot / warm],multi-pos-gloss,pending,,,
yellow,yellow,n. 黄色;黄种人;黄色颜料 adj. 黄色的;黄皮肤的 vt. 使变黄或发黄 vi. 变黄或发黄,3年级下@r15:[out / flag / <yellow> / watch / from],1年级上@r41:[there / black / <yellow> / blue / red],multi-pos-gloss,pending,,,
yes,yes,"n. 是(表示肯定) adv. 是, 是的",2年级上@r46:[after / elephant / <yes> / four / baby],1年级上@r53:[you / like / <yes> / no],multi-pos-gloss,pending,,,
young,young,"n. 年轻人;(动物的)崽,仔 adj. 年轻的;初期的;没有经验的",6年级上@r13:[please / problem / <young> / neck / but],5年级上@r24:[straight / nice / <young> / teach / guess],multi-pos-gloss,pending,,,
your,your,"pron. 你的,你们的",2年级上@r36:[how many / pig / <your> / sixteen / my],1年级下@r46:[socks / shorts / <your>] || 3年级上@r3:[my / <your> / name / new],multiple-occurrences,pending,,,
zoo,zoo,n. 动物园; <美俚>(铁路货车的最后一节)守车; <美俚>核粒子园,1年级下@r25:[grapes / yogurt / <zoo> / tiger / panda] || 2年级上@r22:[the / Sunday / <zoo> / Saturday / film],2年级上@r31:[does / bookshop / <zoo> / school / supermarket],multiple-occurrences,pending,,,
